Subject,Item,Status,Manipulability,Actual RT,Accuracy
42,potter16,New,NA,631,1
42,needle,Old,manipulable,482,1
42,frisbee,New,manipulable,648,1
42,moose,New,nonmanipulable,622,1
42,kirk1,Old,NA,937,1
42,Eals19,New,NA,1341,1
42,Plank45,New,NA,683,1
42,drawer,New,nonmanipulable,572,1
42,Laine-ROVE,Old,NA,1247,0
42,potter11,New,NA,656,1
42,headphones,Old,manipulable,535,1
42,ruler,Old,manipulable,565,1
42,Laine-AMPUUSI,New,NA,761,1
42,potter17,Old,NA,732,1
42,battleship,Old,nonmanipulable,626,1
42,Plank25,New,NA,1019,1
42,Plank36,New,NA,805,1
42,Eals22,Old,NA,601,1
42,jellyfish,New,nonmanipulable,852,0
42,Plank4,Old,NA,628,0
42,yo-yo,Old,manipulable,646,1
42,ladybug,Old,nonmanipulable,659,1
42,Eals26,New,NA,1029,1
42,crab,Old,nonmanipulable,525,1
42,potter22,Old,NA,630,1
42,Laine-JYRSIN,Old,NA,813,1
42,bucket,New,manipulable,841,1
42,Plank5,Old,NA,905,0
42,fountain,New,nonmanipulable,669,1
42,cymbals,New,manipulable,416,0
42,watering-can,Old,manipulable,530,1
42,Plank11,New,NA,551,1
42,starfish,New,nonmanipulable,1010,1
42,Laine-karttu,Old,NA,639,1
42,ram,New,nonmanipulable,729,0
42,Plank37,New,NA,571,1
42,potter7,Old,NA,942,1
42,Plank13,Old,NA,893,1
42,hamster,Old,nonmanipulable,363,1
42,pitcher,New,manipulable,767,1
42,teapot,Old,manipulable,1066,1
42,potter26,Old,NA,609,1
42,Plank3,Old,NA,725,1
42,Laine-tuura,New,NA,769,1
42,matches,Old,manipulable,926,1
42,potter14,New,NA,993,1
42,hippopotamus,Old,nonmanipulable,511,1
42,potter6,New,NA,651,1
42,frog,New,nonmanipulable,557,0
42,floss,Old,manipulable,670,1
42,firetruck,New,nonmanipulable,864,1
42,Laine-NORHA,Old,NA,720,1
42,camcorder,Old,manipulable,645,1
42,weasel,New,nonmanipulable,686,1
42,Laine-KALKKU,Old,NA,711,1
42,potter8,Old,NA,1018,0
42,Laine-LAVISTIN,New,NA,1089,1
42,tank,New,nonmanipulable,745,0
42,bottle,New,manipulable,598,1
42,Laine-naskain,Old,NA,850,1
42,llama,Old,nonmanipulable,1600,1
